protein_id	gene_names	peptides	intensity
P51888	PRELP	12	27464000
P18085	ARF4	10	27338000
P52907	CAPZA1	8	26915000
P78417	GSTO1	9	26716000
P02042	HBD	11	26632000
Q9BS26	ERP44	12	26628000
P25325	MPST	10	26621000
P28331	NDUFS1	18	26619000
P51911	CNN1	9	26585000
P00491	PNP	16	26371000
P21810	BGN	9	26216000
Q15437	SEC23B	16	26130000
P38117	ETFB	9	26087000
P60981	DSTN	8	26045000
P53396	ACLY	22	26016000
P54136	RARS	20	26016000
Q9Y3U8	RPL36	4	25921000
Q07960	ARHGAP1	15	25796000
P12429	ANXA3	12	25612000
Q9UBQ7	GRHPR	10	25598000
P19367	HK1	20	25454000
O15511	ARPC5	4	25445000
P20073	ANXA7	9	25310000
P49257	LMAN1	12	25290000
Q9Y277	VDAC3	9	25169000
P50454	SERPINH1	12	25066000
P47897	QARS	22	24837000
P50552	VASP	9	24832000
Q13200	PSMD2	19	24798000
Q9HC38	GLOD4	12	24797000
P27695	APEX1	9	24743000
O94979	SEC31A	15	24658000
Q96IU4	ABHD14B	7	24647000
P10606	COX5B	5	24611000
Q9BSJ8	ESYT1	16	24345000
Q92945	KHSRP	16	24049000
P62244	RPS15A	6	24022000
O15145	ARPC3	5	23969000
P00966	ASS1	10	23620000
Q6NUK1	SLC25A24	11	23615000
P61019	RAB2A	9	23475000
P24534	EEF1B2	5	23437000
Q96TA1	FAM129B	14	23261000
P58546	MTPN	4	23037000
P42677	RPS27	3	23004000
P09493	TPM1	18	22973000
Q9NZL9	MAT2B	6	22860000
P53999	SUB1	4	22662000
P16219	ACADS	11	22655000
O60763	USO1	19	22599000
P49419	ALDH7A1	14	22594000
Q1KMD3	HNRNPUL2	14	22273000
P49773	HINT1	7	22176000
P21399	ACO1	18	22130000
P26640	VARS	19	22104000
P15311	EZR	25	22077000
Q9Y3B3	TMED7	6	21961000
P35268	RPL22	2	21900000
P00441	SOD1	4	21843000
P00390	GSR	10	21820000
O75891	ALDH1L1	22	21799000
O43776	NARS	13	21702000
P61254	RPL26	4	21504000
Q5SSJ5	HP1BP3	13	21367000
Q9P1F3	ABRACL	3	21279000
Q9UJZ1	STOML2	5	21273000
Q6NVY1	HIBCH	14	21249000
Q8IUE6	HIST2H2AB	3	21059000
Q9NVA2	SEPT11	14	21052000
P62899	RPL31	3	21040000
P61353	RPL27	5	21039000
P42766	RPL35	3	21038000
O43837	IDH3B	5	20887000
P46778	RPL21	2	20879000
P54886	ALDH18A1	17	20837000
P36957	DLST	9	20735000
P61163	ACTR1A	8	20414000
P52565	ARHGDIA	6	20368000
Q12907	LMAN2	11	20340000
P04003	C4BPA	11	20268000
Q14240	EIF4A2	14	20193000
O75368	SH3BGRL	6	20183000
P26583	HMGB2	8	20108000
P07741	APRT	12	20058000
P84098	RPL19	5	19916000
P09669	COX6C	6	19856000
P62847	RPS24	4	19844000
Q9H2U2	PPA2	11	19824000
P15121	AKR1B1	8	19807000
P11177	PDHB	8	19807000
P51148	RAB5C	8	19751000
O43488	AKR7A2	7	19572000
P68036	UBE2L3	4	19541000
P26368	U2AF2	7	19496000
P10515	DLAT	9	19453000
Q13510	ASAH1	10	19323000
Q96A26	FAM162A	5	19157000
O00571	DDX3X	15	19117000
P17980	PSMC3	12	19104000
P10768	ESD	11	18969000
P07686	HEXB	10	18954000
Q16629	SRSF7	4	18939000
P62333	PSMC6	7	18892000
Q92597	NDRG1	8	18833000
Q02818	NUCB1	11	18832000
Q13423	NNT	17	18828000
Q15233	NONO	11	18777000
P84090	ERH	4	18775000
P09874	PARP1	17	18725000
P32969	RPL9	5	18427000
P05155	SERPING1	10	18402000
P21964	COMT	8	18358000
Q9NZN4	EHD2	15	18349000
Q8WVV4	POF1B	11	18336000
Q03252	LMNB2	15	18304000
O00231	PSMD11	10	18146000
P61981	YWHAG	10	18112000
Q8N2S1	LTBP4	19	18102000
